SurveyID,Date,Season,Property,Quadrat no,Easting ,Northing,Aspect,Landscape position,ExoticAnnualGrass_cover,ExoticAnnualHerb_cover,ExoticPerennialHerb_cover,ExoticPerennialGrass_cover,ExoticShrub_cover,NativePerennialFern_cover,NativePerennialGrass_cover,NativePerennialHerb_cover,NativePerennialGraminoid_cover,NativeShrub_cover,BareGround_cover,Litter_cover,MossLichen_cover,Rock_cover,Euc_canopy_cover,Distance_to_Eucalypt_canopy(m),euc_sdlgs0_50cm,euc_sdlgs50cm-2m,euc_sdlgs>2m,annual_precipitation,precipitation_warmest_quarter,precipitation_coldest_quarter,PET,MrVBF,K_perc,Th_ppm,U_ppm,SRad_Jan,SRad_Jul
1,24/07/2006,Winter 2006,Barlow,1,310042,5934571,nne,slope,5.7,0.3,0,0,0,0,16.7,3.1,4,1.7,7.3,53.3,21.7,3,0,0,3,7,0,526,106,160,1289.46,3.172095,0.82,14.58,7.54,175476,42616
2,24/07/2006,Winter 2006,Barlow,2,310087,5934567,ne,slope,6.7,3.6,0,0,0,0,28.3,4.6,0,0,33.3,20,12.3,2.3,0,5,0,2,0,525,106,160,1289.41,4.483536,0.81,14.56,7.59,175444,42541
3,24/07/2006,Winter 2006,Barlow,3,310240,5934699,se,slope,2.3,0,0,0,0,0,3.3,0,0,0,30,18.3,5,48.3,0,0,0,0,0,524,105,159,1289.521,4.229643,0.91,14.43,6.11,175253,42276
4,24/07/2006,Winter 2006,Barlow,4,309998,5934968,0,flat,5,1.3,0,0,0,0,40,0,0,0,15,41.7,10,0,0,5,0,1,0,524,105,159,1290.261,4.349258,0.86,14.84,7.02,176243,43843
5,24/07/2006,Winter 2006,Barlow,5,309958,5934752,0,flat,5.7,4.7,0,0,0,0,20,0,1.7,0,11,46.7,28.3,0,0,5,0,3,0,526,106,160,1289.884,4.720629,0.81,14.96,7.39,176209,43525
6,24/07/2006,Winter 2006,Barlow,6,310137,5934765,0,flat,4.3,4,2,0,0,0,28.3,0,0,0,8.3,66.7,0,0,0,15,0,3,0,526,106,160,1289.744,4.665452,0.86,14.93,7.16,176141,43026
7,25/07/2006,Winter 2006,Blaber,1,386643,5936462,e,slope,1.7,5,0,0,0,10,26.7,7.4,0,0,0,68.3,2.3,0,55,0,0,0,0,846,136,295,1256.436,0,1.66,21.27,7.05,174276,39886
8,25/07/2006,Winter 2006,Blaber,2,386736,5936384,e,slope,3,9.6,20,0,0,0,33.3,1,0,0,2.3,33.3,43.3,1.7,0,34,0,0,0,836,135,291,1255.499,0,1.36,21.71,5.98,176319,43173
9,25/07/2006,Winter 2006,Blaber,3,386732,5936315,e,slope,1.7,10,31,0,0,0,36.7,1.7,0,0,0,24,25,0,38.3,0,0,0,0,835,134,291,1255.091,0,1.44,21.35,5.86,170274,34865
10,25/07/2006,Winter 2006,Blaber,4,386633,5936324,e,slope,1.7,28,16.7,0,0,0,13.3,0,0,0,0,13.3,11.7,15,0,43,0,0,0,845,136,295,1255.632,0,1.58,19.35,6.97,173610,41472
11,25/07/2006,Winter 2006,Blaber,5,386896,5936282,e,slope,5.7,5.7,3.3,0,0,0,45,3.4,0,0,0.7,25,46.7,0,0,3,0,0,0,817,132,283,1254.081,0,1.57,21.66,4.78,172557,38178
12,19/07/2006,Winter 2006,DClark,1,380890,5959540,se,slope,4.3,2.3,0,0,0,0,23.3,0,0,0,10,50,13.3,1.7,6.7,0,0,4,0,613,113,195,1329.516,0.9549364,1.89,15.19,5,175376,38716
13,19/07/2006,Winter 2006,DClark,2,380734,5959474,s,slope,26.7,3.3,0.7,0,0,0,28.3,0,0,0,2.7,31.7,10.7,8.3,0,15,0,0,0,610,113,194,1329.377,1.680303,1.61,14.78,5.13,174645,39072
14,19/07/2006,Winter 2006,DClark,3,381469,5959397,e,slope,11.7,4.3,0.7,1.7,0,0,46.7,0,0,0,1.3,30,8.3,1.7,0,45,0,0,0,607,113,193,1329.361,3.249632,1.87,14.87,5.75,176077,42176
15,19/07/2006,Winter 2006,DClark,4,381024,5959384,s,slope,18.3,2,1.3,10,0,0,25,1,0,0,5,36.7,7.3,0,0,30,0,0,0,610,113,194,1329.267,0,2.1,17.13,5.47,174050,38205
16,19/07/2006,Winter 2006,DClark,5,380890,5959591,se,slope,2,0,0,0,0,0,2.7,0,1,0.7,2.3,33.3,45,15.7,0,0,0,1,0,614,114,195,1329.605,0.8017697,1.88,14.56,5.15,175184,38083
17,19/07/2006,Winter 2006,DClark,6,381203,5959676,e,slope,5,1.7,0,0,0,0,45,0,0,0,1.3,50,6.7,0,0,0,0,4,0,612,113,194,1329.8,2.133055,1.94,18.91,5.56,175945,41303
18,26/07/2006,Winter 2006,Gough,1,358873,5921525,0,crest,6.3,6,1.7,0,0,6.7,15,0,1,0,0,26.7,3.3,40,3.3,0,0,0,0,693,121,228,1252.608,0,2.69,10.11,7.55,176379,46740
19,26/07/2006,Winter 2006,Gough,2,359203,5921862,0,crest,0,26.7,11.7,0,0,0,73.3,0,0,0,1.7,11.7,0,10,0,15,0,0,0,714,124,238,1253.688,0.218655,2.98,12.3,6.1,176857,42839
20,26/07/2006,Winter 2006,Gough,3,358793,5921874,se,slope,4,43.3,28.3,0,0,0,18.3,0,0,0,0,6.7,11.7,0,0,10,0,0,0,679,120,222,1254.431,0,2.82,12.84,8.28,164580,35330
21,26/07/2006,Winter 2006,Gough,4,358452,5921673,n,toe_of_slope,4,16.6,20,0,0,0,27.3,1.7,0,0,31.7,15.7,0,0,16.7,0,15,0,0,670,119,217,1254.271,0.7055123,3,12.39,5.64,175021,44613
