chick_ring_number,hatch_year,hatch_nest_breed_ID,hatch_Area,hatch_Box,hatch_mom_Ring,hatch_nest_dad_Ring,Extra-pair_paternity,Extra-pair_dad_ring,genetic_dad_ring_(WP_or_EP),hatch_nest_LD,hatch_nest_CS,hatch_nest_OH,d0_hatch_nest_brood_size,d14_hatch_nest_brood_size,rear_nest_breed_ID,rear_area,rear_Box,rear_mom_Ring,rear_dad_Ring,rear_nest_trt,home_or_away,rear_nest_LD,rear_nest_CS,rear_nest_OH,rear_d0_rear_nest_brood_size,rear_Cs_out,rear_Cs_in,net_rearing_manipulation,rear_Cs_at_start_of_rearing,d14_rear_nest_brood_size,number_chicks_fledged_from_rear_nest,Date_of_day14,day_14_tarsus_length,day_14_weight,day14_measurer,chick_sex_molec,chick_survival_to_first_breed_season
P804016,2001,201194,C,C130,P803008,P803007,1,.,.,15,10,40,10,10,201167,C,C26,P803005,P803006,5,2,14,10,40,9,4,7,3,12,12,12,54,16.6,8,1,2,0
P804017,2001,201194,C,C130,P803008,P803007,2,.,P803007,15,10,40,10,10,201167,C,C26,P803005,P803006,5,2,14,10,40,9,4,7,3,12,12,12,54,15.5,8.1,1,2,0
P804018,2001,201167,C,C26,P803005,P803006,2,.,P803006,14,10,40,9,9,201167,C,C26,P803005,P803006,5,1,14,10,40,9,4,7,3,12,12,12,54,17.1,10.3,1,2,0
P804019,2001,201194,C,C130,P803008,P803007,2,.,P803007,15,10,40,10,10,201167,C,C26,P803005,P803006,5,2,14,10,40,9,4,7,3,12,12,12,54,17.6,8.4,1,1,0
P804020,2001,201167,C,C26,P803005,P803006,2,.,P803006,14,10,40,9,9,201167,C,C26,P803005,P803006,5,1,14,10,40,9,4,7,3,12,12,12,54,16.3,8.1,1,1,0
P804021,2001,201194,C,C130,P803008,P803007,2,.,P803007,15,10,40,10,10,201167,C,C26,P803005,P803006,5,2,14,10,40,9,4,7,3,12,12,12,54,16.4,8.4,1,2,0
P804022,2001,201194,C,C130,P803008,P803007,2,.,P803007,15,10,40,10,10,201167,C,C26,P803005,P803006,5,2,14,10,40,9,4,7,3,12,12,12,54,17.7,9.7,1,1,0
P804023,2001,201194,C,C130,P803008,P803007,2,.,P803007,15,10,40,10,10,201167,C,C26,P803005,P803006,5,2,14,10,40,9,4,7,3,12,12,12,54,16.8,8,1,1,0
P804024,2001,201167,C,C26,P803005,P803006,1,P803012,P803012,14,10,40,9,9,201167,C,C26,P803005,P803006,5,1,14,10,40,9,4,7,3,12,12,12,54,16.6,8.3,1,2,0
P804025,2001,201194,C,C130,P803008,P803007,2,.,P803007,15,10,40,10,10,201167,C,C26,P803005,P803006,5,2,14,10,40,9,4,7,3,12,12,12,54,15.6,6.5,1,2,0
P804026,2001,201167,C,C26,P803005,P803006,2,.,P803006,14,10,40,9,9,201167,C,C26,P803005,P803006,5,1,14,10,40,9,4,7,3,12,12,12,54,16.7,8,1,2,0
P804027,2001,201167,C,C26,P803005,P803006,2,.,P803006,14,10,40,9,9,201167,C,C26,P803005,P803006,5,1,14,10,40,9,4,7,3,12,12,12,54,17.2,9.1,1,2,0
P804028,2001,201194,C,C130,P803008,P803007,2,.,P803007,15,10,40,10,10,201194,C,C130,P803008,P803007,6,1,15,10,40,10,7,4,-3,7,7,7,54,18.2,10.8,1,2,0
P804029,2001,201167,C,C26,P803005,P803006,2,.,P803006,14,10,40,9,9,201194,C,C130,P803008,P803007,6,2,15,10,40,10,7,4,-3,7,7,7,54,16.7,10.6,1,1,0
P804030,2001,201167,C,C26,P803005,P803006,1,P804790,P804790,14,10,40,9,9,201194,C,C130,P803008,P803007,6,2,15,10,40,10,7,4,-3,7,7,7,54,17,9.3,1,2,0
P804031,2001,201167,C,C26,P803005,P803006,2,.,P803006,14,10,40,9,9,201194,C,C130,P803008,P803007,6,2,15,10,40,10,7,4,-3,7,7,7,54,16.8,10.9,1,1,0
P804032,2001,201194,C,C130,P803008,P803007,2,.,P803007,15,10,40,10,10,201194,C,C130,P803008,P803007,6,1,15,10,40,10,7,4,-3,7,7,7,54,17.6,10.8,1,2,0
P804033,2001,201194,C,C130,P803008,P803007,2,.,P803007,15,10,40,10,10,201194,C,C130,P803008,P803007,6,1,15,10,40,10,7,4,-3,7,7,7,54,18.1,11.2,1,2,1
P804034,2001,201167,C,C26,P803005,P803006,1,P803012,P803012,14,10,40,9,9,201194,C,C130,P803008,P803007,6,2,15,10,40,10,7,4,-3,7,7,7,54,17.3,10.2,1,2,0
P804035,2001,201174,C,C46,P803010,P803009,.,.,P803009,15,7,40,7,7,201174,C,C46,P803010,P803009,7,1,15,7,40,7,0,0,0,7,7,7,54,16.7,11.2,1,.,0
P804036,2001,201174,C,C46,P803010,P803009,.,.,P803009,15,7,40,7,7,201174,C,C46,P803010,P803009,7,1,15,7,40,7,0,0,0,7,7,7,54,16.9,10.2,1,.,0
P804037,2001,201174,C,C46,P803010,P803009,.,.,P803009,15,7,40,7,7,201174,C,C46,P803010,P803009,7,1,15,7,40,7,0,0,0,7,7,7,54,16.6,10.4,1,.,0
P804038,2001,201174,C,C46,P803010,P803009,.,.,P803009,15,7,40,7,7,201174,C,C46,P803010,P803009,7,1,15,7,40,7,0,0,0,7,7,7,54,18,11.2,1,.,0
P804039,2001,201174,C,C46,P803010,P803009,.,.,P803009,15,7,40,7,7,201174,C,C46,P803010,P803009,7,1,15,7,40,7,0,0,0,7,7,7,54,17.3,10.7,1,.,0
P804040,2001,201174,C,C46,P803010,P803009,.,.,P803009,15,7,40,7,7,201174,C,C46,P803010,P803009,7,1,15,7,40,7,0,0,0,7,7,7,54,16.8,10.4,1,.,0
P804041,2001,201174,C,C46,P803010,P803009,.,.,P803009,15,7,40,7,7,201174,C,C46,P803010,P803009,7,1,15,7,40,7,0,0,0,7,7,7,54,17.2,11.2,1,.,0
P804042,2001,201419,W,W47,.,.,2,.,.,16,11,40,.,.,201417,W,W43,P803018,P803019,6,2,13,13,40,11,6,5,-1,10,7,7,55,17.8,11.3,1,2,1
P804043,2001,201417,W,W43,P803018,P803019,2,.,P803019,13,13,40,11,3,201417,W,W43,P803018,P803019,6,1,13,13,40,11,6,5,-1,10,7,7,55,16.8,10.6,1,1,0
P804044,2001,201417,W,W43,P803018,P803019,2,.,P803019,13,13,40,11,3,201417,W,W43,P803018,P803019,6,1,13,13,40,11,6,5,-1,10,7,7,55,16.4,9.6,1,1,0
P804045,2001,201417,W,W43,P803018,P803019,2,.,P803019,13,13,40,11,3,201417,W,W43,P803018,P803019,6,1,13,13,40,11,6,5,-1,10,7,7,55,16.8,9.9,1,1,0
P804046,2001,201419,W,W47,.,.,2,.,.,16,11,40,.,.,201417,W,W43,P803018,P803019,6,2,13,13,40,11,6,5,-1,10,7,7,55,17.7,10.4,1,2,0
P804047,2001,201419,W,W47,.,.,2,.,.,16,11,40,.,.,201417,W,W43,P803018,P803019,6,2,13,13,40,11,6,5,-1,10,7,7,55,17.2,9.9,1,2,0
P804048,2001,201419,W,W47,.,.,2,.,.,16,11,40,.,.,201417,W,W43,P803018,P803019,6,2,13,13,40,11,6,5,-1,10,7,7,55,17.2,10.3,1,1,0
P804101,2001,201288,MP,MP55,P803016,P803017,2,.,P803017,15,12,40,11,11,201123,B,B100,.,P803015,5,2,12,12,40,11,4,7,3,14,14,14,54,17.9,9.5,4,2,0
P804102,2001,201288,MP,MP55,P803016,P803017,2,.,P803017,15,12,40,11,11,201123,B,B100,.,P803015,5,2,12,12,40,11,4,7,3,14,14,14,54,16,8.5,4,1,0
P804103,2001,201123,B,B100,.,P803015,2,.,P803015,12,12,40,11,11,201123,B,B100,.,P803015,5,1,12,12,40,11,4,7,3,14,14,14,54,16.3,7.9,4,1,0
P804104,2001,201123,B,B100,.,P803015,2,.,P803015,12,12,40,11,11,201123,B,B100,.,P803015,5,1,12,12,40,11,4,7,3,14,14,14,54,15.8,8,4,1,0
P804105,2001,201288,MP,MP55,P803016,P803017,2,.,P803017,15,12,40,11,11,201123,B,B100,.,P803015,5,2,12,12,40,11,4,7,3,14,14,14,54,17.3,8.8,4,2,0
P804106,2001,201123,B,B100,.,P803015,2,.,P803015,12,12,40,11,11,201123,B,B100,.,P803015,5,1,12,12,40,11,4,7,3,14,14,14,54,16.5,9,4,2,0
P804107,2001,201123,B,B100,.,P803015,2,.,P803015,12,12,40,11,11,201123,B,B100,.,P803015,5,1,12,12,40,11,4,7,3,14,14,14,54,16.1,8.3,4,2,0
P804108,2001,201123,B,B100,.,P803015,2,.,P803015,12,12,40,11,11,201123,B,B100,.,P803015,5,1,12,12,40,11,4,7,3,14,14,14,54,16.1,8.5,4,1,0
P804109,2001,201288,MP,MP55,P803016,P803017,2,.,P803017,15,12,40,11,11,201123,B,B100,.,P803015,5,2,12,12,40,11,4,7,3,14,14,14,54,16.6,8.2,4,1,0
