response_id_S2,analysis_id_S2,submission_id_S2,ReviewerId,PriorBelief,RateAnalysis,PublishableAsIs
R_3EchM6GxZboGwz4,1,1,Rev63,Negative relationship (more competition = less growth),60,publishable with minor revision
R_2Tzp6JznvkvCY4h,1,1,Rev63,Negative relationship (more competition = less growth),65,publishable with major revision
R_2Tzp6JznvkvCY4h,2,2,Rev63,Negative relationship (more competition = less growth),65,publishable with major revision
R_sb3t48UcPt6oBO1,1,1,Rev63,Negative relationship (more competition = less growth),80,publishable with minor revision
R_sb3t48UcPt6oBO1,2,2,Rev63,Negative relationship (more competition = less growth),80,publishable with minor revision
R_2Pjoz1X4q5XRClO,1,1,Rev63,Negative relationship (more competition = less growth),95,publishable as is
R_2Uh2qaU1UayMOvG,1,1,Rev20,Negative relationship (more competition = less growth),82,publishable with minor revision
R_11787O3NmejXKAH,2,1,Rev20,Negative relationship (more competition = less growth),70,publishable with major revision
R_PvSAhRE12PvmEJb,1,1,Rev20,Negative relationship (more competition = less growth),90,publishable with minor revision
R_PvSAhRE12PvmEJb,2,2,Rev20,Negative relationship (more competition = less growth),90,publishable with minor revision
R_PvSAhRE12PvmEJb,3,3,Rev20,Negative relationship (more competition = less growth),90,publishable with minor revision
R_21gmMa0uclrNoTP,1,1,Rev20,Negative relationship (more competition = less growth),92,publishable with minor revision
NA,NA,NA,Rev20,Negative relationship (more competition = less growth),50,publishable with major revision
R_OHkieloS1B9JsC5,1,1,Rev53,Negative relationship (more competition = less growth),75,publishable with minor revision
R_eo0tGxxndcHxDJ7,1,1,Rev53,Negative relationship (more competition = less growth),90,publishable with minor revision
NA,NA,NA,Rev53,Negative relationship (more competition = less growth),60,publishable with major revision
R_3EZsdPTvOnZBe9S,1,1,Rev53,Negative relationship (more competition = less growth),75,publishable with minor revision
NA,NA,NA,Rev53,Negative relationship (more competition = less growth),50,deeply flawed and unpublishable
R_1CC5PPCXcQPgu42,1,1,Rev153,Negative relationship (more competition = less growth),70,publishable with minor revision
NA,NA,NA,Rev153,Negative relationship (more competition = less growth),55,publishable with major revision
R_1eXlFKlQdiD2F59,1,1,Rev153,Negative relationship (more competition = less growth),65,publishable with major revision
R_1eXlFKlQdiD2F59,2,2,Rev153,Negative relationship (more competition = less growth),65,publishable with major revision
R_2YDnnczYjl21ufr,1,1,Rev153,Negative relationship (more competition = less growth),76,publishable as is
R_1dzfML4yheLxG0D,1,1,Rev68,Negative relationship (more competition = less growth),90,publishable with major revision
R_210APF6gYFATf7Y,1,1,Rev68,Negative relationship (more competition = less growth),95,publishable as is
R_1CC5PPCXcQPgu42,1,1,Rev68,Negative relationship (more competition = less growth),75,publishable with major revision
R_yZQkQmoW6cuEO09,1,1,Rev68,Negative relationship (more competition = less growth),95,publishable with minor revision
R_T0k5x1ig6yJeJl7,1,1,Rev68,Negative relationship (more competition = less growth),97,publishable with minor revision
R_T0k5x1ig6yJeJl7,2,2,Rev68,Negative relationship (more competition = less growth),97,publishable with minor revision
NA,NA,NA,Rev71,Negative relationship (more competition = less growth),70,publishable with major revision
R_2aPKje1xa8BzFa8,1,1,Rev71,Negative relationship (more competition = less growth),75,publishable with minor revision
R_sb3t48UcPt6oBO1,1,1,Rev71,Negative relationship (more competition = less growth),100,publishable as is
R_sb3t48UcPt6oBO1,2,2,Rev71,Negative relationship (more competition = less growth),100,publishable as is
NA,NA,NA,Rev71,Negative relationship (more competition = less growth),85,publishable with minor revision
R_234CYWFp3pm7mxh,1,1,Rev71,Negative relationship (more competition = less growth),80,publishable with minor revision
R_234CYWFp3pm7mxh,2,2,Rev71,Negative relationship (more competition = less growth),80,publishable with minor revision
NA,NA,NA,Rev14,Negative relationship (more competition = less growth),25,publishable with major revision
R_3lMQ3NmmjrzpbM2,1,1,Rev14,Negative relationship (more competition = less growth),25,publishable with major revision
R_3lMQ3NmmjrzpbM2,2,2,Rev14,Negative relationship (more competition = less growth),25,publishable with major revision
R_1GJlffAgZv6SY4y,1,1,Rev14,Negative relationship (more competition = less growth),76,deeply flawed and unpublishable
R_40VJPSNfIlSJGAV,1,1,Rev14,Negative relationship (more competition = less growth),75,publishable with minor revision
R_40VJPSNfIlSJGAV,2,2,Rev14,Negative relationship (more competition = less growth),75,publishable with minor revision
R_40VJPSNfIlSJGAV,3,3,Rev14,Negative relationship (more competition = less growth),75,publishable with minor revision
R_40VJPSNfIlSJGAV,4,4,Rev14,Negative relationship (more competition = less growth),75,publishable with minor revision
NA,NA,NA,Rev62,Negative relationship (more competition = less growth),90,publishable with minor revision
NA,NA,NA,Rev62,Negative relationship (more competition = less growth),20,deeply flawed and unpublishable
R_1o4ElmLsRiBa4FJ,1,1,Rev62,Negative relationship (more competition = less growth),55,publishable with major revision
R_1o4ElmLsRiBa4FJ,2,2,Rev62,Negative relationship (more competition = less growth),55,publishable with major revision
R_1o4ElmLsRiBa4FJ,3,3,Rev62,Negative relationship (more competition = less growth),55,publishable with major revision
R_1o4ElmLsRiBa4FJ,4,4,Rev62,Negative relationship (more competition = less growth),55,publishable with major revision
R_2YDnnczYjl21ufr,1,1,Rev62,Negative relationship (more competition = less growth),65,publishable with major revision
R_2TFNREdJSxTXZBQ,2,1,Rev62,Negative relationship (more competition = less growth),90,publishable as is
R_2TFNREdJSxTXZBQ,1,2,Rev62,Negative relationship (more competition = less growth),90,publishable as is
R_eo0tGxxndcHxDJ7,1,1,Rev24,NA,96,publishable with minor revision
R_PvSAhRE12PvmEJb,1,1,Rev24,NA,86,publishable with minor revision
R_PvSAhRE12PvmEJb,2,2,Rev24,NA,86,publishable with minor revision
R_PvSAhRE12PvmEJb,3,3,Rev24,NA,86,publishable with minor revision
R_3eemYAT4onCCt0N,1,1,Rev24,NA,100,publishable with minor revision
R_21gmMa0uclrNoTP,1,1,Rev24,NA,92,publishable with minor revision
R_31LAZLL0bxwShz9,1,1,Rev24,NA,85,publishable with major revision
NA,NA,NA,Rev64,Negative relationship (more competition = less growth),50,publishable with major revision
R_CfUlQXg434XEESd,1,1,Rev64,Negative relationship (more competition = less growth),50,publishable with major revision
R_CfUlQXg434XEESd,2,2,Rev64,Negative relationship (more competition = less growth),50,publishable with major revision
R_CfUlQXg434XEESd,3,3,Rev64,Negative relationship (more competition = less growth),50,publishable with major revision
R_CfUlQXg434XEESd,4,4,Rev64,Negative relationship (more competition = less growth),50,publishable with major revision
R_3m9pJhdYt9KfVms,1,1,Rev64,Negative relationship (more competition = less growth),94,publishable as is
R_3nBCE4hMLh5s3qt,1,1,Rev64,Negative relationship (more competition = less growth),95,publishable as is
R_3nBCE4hMLh5s3qt,2,2,Rev64,Negative relationship (more competition = less growth),95,publishable as is
R_3qfD5ZHHdBbTgk3,8,1,Rev33,Negative relationship (more competition = less growth),60,publishable with major revision
R_3iKJrflQwwxsps0,1,1,Rev33,Negative relationship (more competition = less growth),60,publishable with major revision
R_3iKJrflQwwxsps0,2,2,Rev33,Negative relationship (more competition = less growth),60,publishable with major revision
R_3M4jvijC62vcUBW,1,1,Rev33,Negative relationship (more competition = less growth),95,publishable as is
R_12cozGev3IOOBG2,1,1,Rev33,Negative relationship (more competition = less growth),66,publishable with minor revision
R_12cozGev3IOOBG2,2,2,Rev33,Negative relationship (more competition = less growth),66,publishable with minor revision
R_12cozGev3IOOBG2,3,3,Rev33,Negative relationship (more competition = less growth),66,publishable with minor revision
R_12cozGev3IOOBG2,4,4,Rev33,Negative relationship (more competition = less growth),66,publishable with minor revision
R_12cozGev3IOOBG2,5,5,Rev33,Negative relationship (more competition = less growth),66,publishable with minor revision
R_2eQ3csRDLG0n4YO,6,1,Rev33,Negative relationship (more competition = less growth),66,publishable with minor revision
R_2eQ3csRDLG0n4YO,7,2,Rev33,Negative relationship (more competition = less growth),66,publishable with minor revision
R_2eQ3csRDLG0n4YO,8,3,Rev33,Negative relationship (more competition = less growth),66,publishable with minor revision
NA,NA,NA,Rev33,Negative relationship (more competition = less growth),75,publishable with minor revision
R_2Wwn0cMK5hFC4vB,1,1,Rev49,Negative relationship (more competition = less growth),85,publishable with minor revision
R_2Wwn0cMK5hFC4vB,2,2,Rev49,Negative relationship (more competition = less growth),85,publishable with minor revision
R_QhJspbYhGLOQVZD,1,1,Rev49,Negative relationship (more competition = less growth),95,publishable as is
R_QhJspbYhGLOQVZD,2,2,Rev49,Negative relationship (more competition = less growth),95,publishable as is
R_2TFNREdJSxTXZBQ,2,1,Rev49,Negative relationship (more competition = less growth),75,publishable with major revision
R_2TFNREdJSxTXZBQ,1,2,Rev49,Negative relationship (more competition = less growth),75,publishable with major revision
NA,NA,NA,Rev49,Negative relationship (more competition = less growth),75,publishable with minor revision
R_3lMQ3NmmjrzpbM2,1,1,Rev66,Negative relationship (more competition = less growth),93,publishable with minor revision
R_3lMQ3NmmjrzpbM2,2,2,Rev66,Negative relationship (more competition = less growth),93,publishable with minor revision
R_2Uh2qaU1UayMOvG,1,1,Rev66,Negative relationship (more competition = less growth),90,publishable with minor revision
R_3EchM6GxZboGwz4,1,1,Rev66,Negative relationship (more competition = less growth),50,publishable with major revision
R_es2jrrN9CTGwl5D,1,1,Rev66,Negative relationship (more competition = less growth),35,deeply flawed and unpublishable
NA,NA,NA,Rev66,Negative relationship (more competition = less growth),65,publishable with major revision
R_21an1zgH6j5Vfds,2,2,Rev42,NA,50,publishable with major revision
R_21an1zgH6j5Vfds,1,3,Rev42,NA,50,publishable with major revision
R_21an1zgH6j5Vfds,3,4,Rev42,NA,50,publishable with major revision
R_2Wwn0cMK5hFC4vB,1,1,Rev42,NA,75,publishable with major revision
R_2Wwn0cMK5hFC4vB,2,2,Rev42,NA,75,publishable with major revision
R_1llU7rt7jpCEaKe,1,1,Rev42,NA,90,publishable with major revision
R_1llU7rt7jpCEaKe,2,2,Rev42,NA,90,publishable with major revision
R_1llU7rt7jpCEaKe,3,3,Rev42,NA,90,publishable with major revision
R_rl4gKNbuSPbhvjj,1,1,Rev42,NA,95,publishable with minor revision
R_2SualymdumDBI63,1,1,Rev42,NA,25,deeply flawed and unpublishable
R_2SualymdumDBI63,2,2,Rev42,NA,25,deeply flawed and unpublishable
R_2SualymdumDBI63,3,3,Rev42,NA,25,deeply flawed and unpublishable
NA,NA,NA,Rev117,Negative relationship (more competition = less growth),50,publishable with minor revision
R_3dWjjdkDbTRCUqs,1,1,Rev117,Negative relationship (more competition = less growth),97,publishable with minor revision
R_rl4gKNbuSPbhvjj,1,1,Rev117,Negative relationship (more competition = less growth),77,publishable with major revision
R_1E099fIoICERZIZ,1,1,Rev117,Negative relationship (more competition = less growth),100,publishable with minor revision
R_1E099fIoICERZIZ,2,2,Rev117,Negative relationship (more competition = less growth),100,publishable with minor revision
R_30l9T9czSfysE75,1,1,Rev117,Negative relationship (more competition = less growth),50,publishable with major revision
R_eqzPwjXV6eOi2zv,1,1,Rev91,Negative relationship (more competition = less growth),75,publishable with minor revision
R_eqzPwjXV6eOi2zv,2,2,Rev91,Negative relationship (more competition = less growth),75,publishable with minor revision
R_3EchM6GxZboGwz4,1,1,Rev91,Negative relationship (more competition = less growth),75,publishable with minor revision
R_2wFd1Uodrx19dK3,1,1,Rev91,Negative relationship (more competition = less growth),85,publishable with minor revision
R_2wFd1Uodrx19dK3,2,2,Rev91,Negative relationship (more competition = less growth),85,publishable with minor revision
NA,NA,NA,Rev91,Negative relationship (more competition = less growth),65,publishable with minor revision
R_3ERyi6ZMihKx06s,1,1,Rev91,Negative relationship (more competition = less growth),60,publishable with major revision
R_1ff6slHNcrTJ2JS,1,1,Rev145,Negative relationship (more competition = less growth),73,publishable with major revision
R_1QoRu2birFKL9Hx,1,1,Rev145,Negative relationship (more competition = less growth),98,publishable as is
R_1eXlFKlQdiD2F59,1,1,Rev145,Negative relationship (more competition = less growth),66,publishable with major revision
R_1eXlFKlQdiD2F59,2,2,Rev145,Negative relationship (more competition = less growth),66,publishable with major revision
R_2vYtB65EABDGMNB,2,1,Rev145,Negative relationship (more competition = less growth),85,publishable with minor revision
R_2vYtB65EABDGMNB,1,2,Rev145,Negative relationship (more competition = less growth),85,publishable with minor revision
R_2uIDO25lv0nHjfH,1,1,Rev145,Negative relationship (more competition = less growth),95,publishable with minor revision
NA,NA,NA,Rev132,Negative relationship (more competition = less growth),55,publishable with major revision
R_sb3t48UcPt6oBO1,1,1,Rev132,Negative relationship (more competition = less growth),90,publishable as is
R_sb3t48UcPt6oBO1,2,2,Rev132,Negative relationship (more competition = less growth),90,publishable as is
R_31LAZLL0bxwShz9,1,1,Rev132,Negative relationship (more competition = less growth),65,publishable with minor revision
