response_id_S2,analysis_id_S2,submission_id_S2,ReviewerId,PriorBelief,RateAnalysis,PublishableAsIs
R_9GOTiblKFa9C4x3,1,1,Rev142,NA,90,publishable with minor revision
R_9GOTiblKFa9C4x3,2,2,Rev142,NA,90,publishable with minor revision
R_2q46Az9oG9EuskN,1,1,Rev142,NA,100,publishable as is
R_V53ZP6DAbdFUqS5,1,1,Rev142,NA,90,publishable with minor revision
R_3Kvy0h01LXHWniT,1,1,Rev142,NA,50,publishable with major revision
R_3Kvy0h01LXHWniT,2,2,Rev142,NA,50,publishable with major revision
R_XQXeN7diZLPsRVv,1,1,Rev35,Negative relationship (more grass cover = fewer seedlings),82,publishable as is
R_XQXeN7diZLPsRVv,2,2,Rev35,Negative relationship (more grass cover = fewer seedlings),82,publishable as is
R_3NHVKFiOiQBfX9b,1,1,Rev35,Negative relationship (more grass cover = fewer seedlings),45,publishable with major revision
R_3NHVKFiOiQBfX9b,2,2,Rev35,Negative relationship (more grass cover = fewer seedlings),45,publishable with major revision
R_3NHVKFiOiQBfX9b,3,3,Rev35,Negative relationship (more grass cover = fewer seedlings),45,publishable with major revision
R_vojH4E5b8mNOCU9,1,1,Rev35,Negative relationship (more grass cover = fewer seedlings),95,publishable as is
NA,NA,NA,Rev35,Negative relationship (more grass cover = fewer seedlings),65,publishable as is
R_2RWagSaG4jPYGlh,1,1,Rev144,Negative relationship (more grass cover = fewer seedlings),70,publishable with minor revision
R_2zj7U8UJE7GgEYS,1,1,Rev144,Negative relationship (more grass cover = fewer seedlings),24,deeply flawed and unpublishable
R_2zj7U8UJE7GgEYS,2,2,Rev144,Negative relationship (more grass cover = fewer seedlings),24,deeply flawed and unpublishable
R_1LXqc8NAdABndjl,1,1,Rev144,Negative relationship (more grass cover = fewer seedlings),50,publishable with major revision
R_21I1NvXiVXIGkqp,1,1,Rev144,Negative relationship (more grass cover = fewer seedlings),60,publishable with minor revision
NA,NA,NA,Rev41,Negative relationship (more grass cover = fewer seedlings),90,publishable as is
R_3dYDpQUfDUXjtDy,1,1,Rev41,Negative relationship (more grass cover = fewer seedlings),75,publishable with major revision
R_3dYDpQUfDUXjtDy,2,2,Rev41,Negative relationship (more grass cover = fewer seedlings),75,publishable with major revision
R_2AHKlq0vRRQTSVz,1,1,Rev41,Negative relationship (more grass cover = fewer seedlings),85,publishable with minor revision
R_2anLJGpWhjUjzes,1,1,Rev41,Negative relationship (more grass cover = fewer seedlings),75,publishable with minor revision
R_1LRqq2WHrQaENtM,1,1,Rev41,Negative relationship (more grass cover = fewer seedlings),50,publishable with major revision
R_phpZePnRFCxhQFH,1,1,Rev102,Negative relationship (more grass cover = fewer seedlings),65,publishable with major revision
R_1r2FSn2AXuCimpi,1,1,Rev102,Negative relationship (more grass cover = fewer seedlings),80,publishable with minor revision
NA,NA,NA,Rev102,Negative relationship (more grass cover = fewer seedlings),85,publishable with minor revision
R_1M0cMZL2IPYWHoi,1,1,Rev102,Negative relationship (more grass cover = fewer seedlings),70,publishable with major revision
NA,NA,NA,Rev107,Negative relationship (more grass cover = fewer seedlings),75,publishable with minor revision
R_2anLJGpWhjUjzes,1,1,Rev107,Negative relationship (more grass cover = fewer seedlings),70,publishable with minor revision
R_2tLsM42vnTf9wX6,1,1,Rev107,Negative relationship (more grass cover = fewer seedlings),95,publishable with minor revision
R_2tLsM42vnTf9wX6,2,2,Rev107,Negative relationship (more grass cover = fewer seedlings),95,publishable with minor revision
R_2tLsM42vnTf9wX6,3,3,Rev107,Negative relationship (more grass cover = fewer seedlings),95,publishable with minor revision
R_2tLsM42vnTf9wX6,4,4,Rev107,Negative relationship (more grass cover = fewer seedlings),95,publishable with minor revision
NA,NA,NA,Rev107,Negative relationship (more grass cover = fewer seedlings),60,publishable with major revision
R_3L6k5TOvZ4731Dk,1,1,Rev56,Negative relationship (more grass cover = fewer seedlings),85,publishable with minor revision
R_31tNDcbaXNaQp1y,1,1,Rev56,Negative relationship (more grass cover = fewer seedlings),60,publishable with major revision
R_1kH1Ko3yaLsrD0E,1,1,Rev56,Negative relationship (more grass cover = fewer seedlings),70,publishable with major revision
R_2ZOi9HYfzNfJmKE,1,1,Rev56,Negative relationship (more grass cover = fewer seedlings),55,publishable with major revision
R_21AEcUhC7tWDsN6,1,1,Rev148,NA,75,publishable with minor revision
R_2V7qaLEfdbgUGg3,1,1,Rev148,NA,20,publishable with major revision
R_2V7qaLEfdbgUGg3,2,2,Rev148,NA,20,publishable with major revision
R_3EbbZxcQ3gctVZu,1,1,Rev148,NA,60,publishable with major revision
R_3D10yCylth7wFPg,1,1,Rev148,NA,18,publishable with major revision
R_1FJQlMO4buRu6S2,1,1,Rev148,NA,75,publishable with minor revision
R_3NHVKFiOiQBfX9b,1,1,Rev115,NA,50,publishable with major revision
R_3NHVKFiOiQBfX9b,2,2,Rev115,NA,50,publishable with major revision
R_3NHVKFiOiQBfX9b,3,3,Rev115,NA,50,publishable with major revision
R_3eta2uFp1DLnGVJ,1,1,Rev115,NA,70,publishable with minor revision
R_2zSEWAYDs4K7SiK,1,1,Rev115,NA,80,publishable with minor revision
R_2qt4UsEXYCfKubj,1,1,Rev115,NA,15,deeply flawed and unpublishable
R_3mfyhAj6rakbi5b,1,1,Rev100,NA,50,publishable with minor revision
R_phpZePnRFCxhQFH,1,1,Rev100,NA,50,publishable with minor revision
NA,NA,NA,Rev100,NA,51,publishable with minor revision
R_1LTZWsikoIaKdMu,1,1,Rev100,NA,51,publishable with minor revision
R_3GqVN6mfoOWe3Nz,1,1,Rev57,NA,90,publishable with minor revision
R_3GqVN6mfoOWe3Nz,2,2,Rev57,NA,90,publishable with minor revision
R_3GqVN6mfoOWe3Nz,3,3,Rev57,NA,90,publishable with minor revision
R_Rku0BAsjkxtwo7L,1,1,Rev36,Negative relationship (more grass cover = fewer seedlings),95,publishable with minor revision
