response_id,id_col,submission_id,analysis_id,split_id,beta_estimate,contrast,adjusted_df,beta_SE,transformation,link_function_reported,dataset,mixed_model,response_transformation_description,response_transformation_status,response_variable_type,response_construction_description,response_variable_name,response_id_S2,test_variable,sample_size,Bayesian,linear_model,model_subclass,num_variables,num_effects,num_fixed_variables,num_fixed_effects,num_random_variables,num_random_effects,num_interactions,num_duplicate_terms,exclusions_all,exclusions_effect_analysis,exclusion_predictions,ConclusionS1,Conclusion,software,data_cleaning_preprocessing_tool,data_cleaning_preprocessing_version,data_analysis_tool,data_analysis_version,SurveyID,Date,Season,Property,Quadrat no,Easting,Northing,Aspect,Landscape position,ExoticAnnualGrass_cover,ExoticAnnualHerb_cover,ExoticPerennialHerb_cover,ExoticPerennialGrass_cover,ExoticShrub_cover,NativePerennialFern_cover,NativePerennialGrass_cover,NativePerennialHerb_cover,NativePerennialGraminoid_cover,NativeShrub_cover,BareGround_cover,Litter_cover,MossLichen_cover,Rock_cover,Euc_canopy_cover,Distance_to_Eucalypt_canopy(m),euc_sdlgs0_50cm,euc_sdlgs50cm-2m,euc_sdlgs>2m,annual_precipitation,precipitation_warmest_quarter,precipitation_coldest_quarter,PET,MrVBF,K_perc,Th_ppm,U_ppm,SRad_Jan,SRad_Jul,all_grass,all_exotic_grass,all_native_grass_graminoid,all_non-grass_veg,shrub_cover,herb_cover,other_veg,bare,month,all_exotic_herb,native_herb_fern_gram,growing_space,soilPC1,coverPC1,coverPC2,coverPC3,precip_max_range,year,size_class,all_perennial_grass,sample,hatch_year,hatch_nest_breed_ID,hatch_Area,hatch_Box,hatch_mom_Ring,hatch_nest_dad_Ring,Extra-pair_paternity,Extra-pair_dad_ring,genetic_dad_ring_(WP_or_EP),hatch_nest_LD,hatch_nest_CS,hatch_nest_OH,d0_hatch_nest_brood_size,d14_hatch_nest_brood_size,rear_nest_breed_ID,rear_area,rear_Box,rear_mom_Ring,rear_dad_Ring,rear_nest_trt,home_or_away,rear_nest_LD,rear_nest_CS,rear_nest_OH,rear_d0_rear_nest_brood_size,rear_Cs_out,rear_Cs_in,net_rearing_manipulation,rear_Cs_at_start_of_rearing,d14_rear_nest_brood_size,number_chicks_fledged_from_rear_nest,Date_of_day14,day_14_tarsus_length,day_14_weight,day14_measurer,chick_sex_molec,chick_survival_to_first_breed_season,within-area_movement,brood_reduction,blood_sib,hatch_incub_length,rear_incub_length,relatedness,competition_weight,relative_CS,envir_rear,percent_change,parentage,manipulation_non,seasonal_timing,brood_mortality,brood_sex_ratio,TeamIdentifier
R_0MuZ4chnmwTaLiV,Bicheno-1-1-1,1,1,1,NA,NA,21,0.29212,NA,NA,eucalyptus,NA,NA,NA,constructed variable (combining information from two or more original variables),euc_sdlgs0_50cm + euc_sdlgs50cm-2m,euc_sdlgs0_2m,R_0MuZ4chnmwTaLiV,NA,NA,0,generalised,zero_inflated_hurdle,18,NA,18,NA,0,NA,NA,NA,exclude,exclude,NA,"Potential evapotranspiration was positively related to seedling abundances, which is contrary to expectations with regard to the influence of water stress (i.e., high evaporative demand) on seedling recruitment. Yet, potential evapotranspiration was positively and highly correlated to the index of valley bottom flatness (MrVBF; Pearsonâ€™s r = 0.61) and to northing (Pearsonâ€™s r = 0.98), suggesting it may reflect other processes that are spatially structured. Indeed, properties with lower seedling abundances are located at the margin of the Eucalyptus open forest region, which has a rougher topography (i.e., lower MrVBF) and is a hotspot of production forestry in south-eastern Australia.

Distance to the nearest Eucalyptus canopy correlated negatively with seedlingâ€™s presence. This relationship reveals that seedlingâ€™s recruitment is probably controlled by seed dispersion rather than by intra-specific competition, or selection processes due to climatic and edaphic conditions. Furthermore, seedlingâ€™s presence was negatively related to grass and herb cover, although not seedling abundances. Low germination rates and early seedlings mortality could explain the negative effect of the understorey plant cover on Eucalyptusâ€™ recruitment. The latter interpretation is supported by the negative relationship observed between litter cover and the probability of observing seedlings.

Our analyses of Eucalyptus seedlings show that recruitment at a site is affected negatively by grass, herb and litter cover, but positively by its proximity to mother trees (Eucalyptus canopy), which suggest that seed dispersal and germination are bottleneck processes. Once Eucalyptus seedlings have established, their abundances vary along a north-south gradient of potential evapotranspiration that is associated with other landscape attributes (e.g., change in topography and land-use). It is not entirely clear what are the processes that drive seedlingsâ€™ abundances along this gradient.
",neg_q,"R version 3.6.2
Hurdle model was adjusted with the hurdle function from the pscl package version 1.5.5",R,3.6.2,R,3.6.2,NA,NA,Season,NA,NA,NA,NA,NA,NA,ExoticAnnualGrass_cover,ExoticAnnualHerb_cover,ExoticPerennialHerb_cover,ExoticPerennialGrass_cover,ExoticShrub_cover,NativePerennialFern_cover,NativePerennialGrass_cover,NativePerennialHerb_cover,NativePerennialGraminoid_cover,NA,BareGround_cover,Litter_cover,NA,NA,Euc_canopy_cover,Distance_to_Eucalypt_canopy(m),euc_sdlgs0_50cm,euc_sdlgs50cm-2m,NA,NA,NA,NA,PET,NA,NA,NA,NA,NA,SRad_Jul,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bicheno
R_0MuZ4chnmwTaLiV,Bicheno-1-1-2,1,1,2,-0.763443,slope,21,0.242942,NA,NA,eucalyptus,NA,NA,NA,constructed variable (combining information from two or more original variables),euc_sdlgs0_50cm + euc_sdlgs50cm-2m,euc_sdlgs0_2m,R_0MuZ4chnmwTaLiV,NA,NA,0,generalised,zero_inflated_hurdle,18,NA,18,NA,0,NA,NA,NA,exclude,retain,NA,"Potential evapotranspiration was positively related to seedling abundances, which is contrary to expectations with regard to the influence of water stress (i.e., high evaporative demand) on seedling recruitment. Yet, potential evapotranspiration was positively and highly correlated to the index of valley bottom flatness (MrVBF; Pearsonâ€™s r = 0.61) and to northing (Pearsonâ€™s r = 0.98), suggesting it may reflect other processes that are spatially structured. Indeed, properties with lower seedling abundances are located at the margin of the Eucalyptus open forest region, which has a rougher topography (i.e., lower MrVBF) and is a hotspot of production forestry in south-eastern Australia.

Distance to the nearest Eucalyptus canopy correlated negatively with seedlingâ€™s presence. This relationship reveals that seedlingâ€™s recruitment is probably controlled by seed dispersion rather than by intra-specific competition, or selection processes due to climatic and edaphic conditions. Furthermore, seedlingâ€™s presence was negatively related to grass and herb cover, although not seedling abundances. Low germination rates and early seedlings mortality could explain the negative effect of the understorey plant cover on Eucalyptusâ€™ recruitment. The latter interpretation is supported by the negative relationship observed between litter cover and the probability of observing seedlings.

Our analyses of Eucalyptus seedlings show that recruitment at a site is affected negatively by grass, herb and litter cover, but positively by its proximity to mother trees (Eucalyptus canopy), which suggest that seed dispersal and germination are bottleneck processes. Once Eucalyptus seedlings have established, their abundances vary along a north-south gradient of potential evapotranspiration that is associated with other landscape attributes (e.g., change in topography and land-use). It is not entirely clear what are the processes that drive seedlingsâ€™ abundances along this gradient.
",neg_q,"R version 3.6.2
Hurdle model was adjusted with the hurdle function from the pscl package version 1.5.5",R,3.6.2,R,3.6.2,NA,NA,Season,NA,NA,NA,NA,NA,NA,ExoticAnnualGrass_cover,ExoticAnnualHerb_cover,ExoticPerennialHerb_cover,ExoticPerennialGrass_cover,ExoticShrub_cover,NativePerennialFern_cover,NativePerennialGrass_cover,NativePerennialHerb_cover,NativePerennialGraminoid_cover,NA,BareGround_cover,Litter_cover,NA,NA,Euc_canopy_cover,Distance_to_Eucalypt_canopy(m),euc_sdlgs0_50cm,euc_sdlgs50cm-2m,NA,NA,NA,NA,PET,NA,NA,NA,NA,NA,SRad_Jul,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bicheno
R_11787O3NmejXKAH,Ayr-1-2-2,1,2,2,NA,NA,484.0193,NA,NA,NA,blue tit,1,NA,NA,"original variable (not transformed prior to analysis - if transformed with link function in analysis, click this option)",NA,day_14_tarsus_length,R_11787O3NmejXKAH,net_rearing_manipulation,3720,0,generalised,standard,12,NA,NA,NA,NA,NA,NA,NA,exclude,exclude_all,NA,"Chicks reared in clutches of 5-6 were the biggest in weight, tarsus length, and overall growth. Although sibling competition affected chick growth, this effect was outweighed by the random effects of each model, illustrating the importance of parental, geographical, and weather-related influences.",CHECK,R studio Version 1.2.5042,R,NA,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hatch_year,NA,NA,NA,hatch_mom_Ring,NA,NA,NA,NA,NA,NA,NA,d0_hatch_nest_brood_size,NA,NA,rear_area,NA,rear_mom_Ring,NA,NA,home_or_away,NA,NA,NA,NA,NA,NA,net_rearing_manipulation,rear_Cs_at_start_of_rearing,d14_rear_nest_brood_size,NA,Date_of_day14,day_14_tarsus_length,day_14_weight,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ayr
R_11787O3NmejXKAH,Ayr-1-2-3,1,2,3,NA,NA,666.56874,NA,NA,NA,blue tit,1,NA,NA,"original variable (not transformed prior to analysis - if transformed with link function in analysis, click this option)",NA,day_14_weight,R_11787O3NmejXKAH,net_rearing_manipulation,3720,0,generalised,standard,12,NA,NA,NA,NA,NA,NA,NA,exclude,exclude_all,NA,"Chicks reared in clutches of 5-6 were the biggest in weight, tarsus length, and overall growth. Although sibling competition affected chick growth, this effect was outweighed by the random effects of each model, illustrating the importance of parental, geographical, and weather-related influences.",CHECK,R studio Version 1.2.5042,R,NA,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hatch_year,NA,NA,NA,hatch_mom_Ring,NA,NA,NA,NA,NA,NA,NA,d0_hatch_nest_brood_size,NA,NA,rear_area,NA,rear_mom_Ring,NA,NA,home_or_away,NA,NA,NA,NA,NA,NA,net_rearing_manipulation,rear_Cs_at_start_of_rearing,d14_rear_nest_brood_size,NA,Date_of_day14,day_14_tarsus_length,day_14_weight,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ayr
R_11787O3NmejXKAH,Ayr-1-2-1,1,2,1,NA,NA,590.18263,NA,NA,NA,blue tit,1,power2.675,power2.675,"original variable (not transformed prior to analysis - if transformed with link function in analysis, click this option)",NA,day_14_weight*day_14_tarsus_length,R_11787O3NmejXKAH,net_rearing_manipulation,3720,0,generalised,standard,12,NA,NA,NA,NA,NA,NA,NA,exclude,exclude_all,NA,"Chicks reared in clutches of 5-6 were the biggest in weight, tarsus length, and overall growth. Although sibling competition affected chick growth, this effect was outweighed by the random effects of each model, illustrating the importance of parental, geographical, and weather-related influences.",CHECK,R studio Version 1.2.5042,R,NA,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hatch_year,NA,NA,NA,hatch_mom_Ring,NA,NA,NA,NA,NA,NA,NA,d0_hatch_nest_brood_size,NA,NA,rear_area,NA,rear_mom_Ring,NA,NA,home_or_away,NA,NA,NA,NA,NA,NA,net_rearing_manipulation,rear_Cs_at_start_of_rearing,d14_rear_nest_brood_size,NA,Date_of_day14,day_14_tarsus_length,day_14_weight,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ayr
R_126erjKKuN3IwSJ,Bega-2-2-1,2,2,1,-4.05,control-enlarged,389.12,2.11,identity,identity,blue tit,1,power2,power2,"original variable (not transformed prior to analysis - if transformed with link function in analysis, click this option)",NA,day_14_tarsus_length,R_126erjKKuN3IwSJ,rear_nest_trt_C.E,396,0,linear,standard,6,6,4,4,2,2,0,0,retain,retain,NA,"Nestlings in enlarged broods on average had shorter tarsi compared to control broods, but not significantly so, while they had significantly shorter tarsi compared to nestlings in reduced broods (Table 1, Figure 1B, 1D). Nestlings in reduced broods did not have significantly longer tarsi than control nestlings (Table 1, Figure 1B, 1D). Mean tarsus length per nest was significantly lower for larger experimental broods and for broods in which more nestlings died. The laying date did not affect mean tarsus length significantly.",neg_q,R 3.5.0,R,3.5.0,R,3.5.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hatch_year,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,rear_area,NA,NA,NA,rear_nest_trt,NA,NA,NA,rear_nest_OH,NA,NA,NA,NA,rear_Cs_at_start_of_rearing,d14_rear_nest_brood_size,NA,NA,NA,NA,NA,NA,NA,NA,brood_reduction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bega
R_126erjKKuN3IwSJ,Bega-2-2-2,2,2,2,-2.55,reduced-control,384.09,1.91,identity,identity,blue tit,1,power2,power2,"original variable (not transformed prior to analysis - if transformed with link function in analysis, click this option)",NA,day_14_tarsus_length,R_126erjKKuN3IwSJ,rear_nest_trt_R.C,396,0,linear,standard,6,6,4,4,2,2,0,0,retain,retain,NA,"Nestlings in enlarged broods on average had shorter tarsi compared to control broods, but not significantly so, while they had significantly shorter tarsi compared to nestlings in reduced broods (Table 1, Figure 1B, 1D). Nestlings in reduced broods did not have significantly longer tarsi than control nestlings (Table 1, Figure 1B, 1D). Mean tarsus length per nest was significantly lower for larger experimental broods and for broods in which more nestlings died. The laying date did not affect mean tarsus length significantly.",neg_q,R 3.5.0,R,3.5.0,R,3.5.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hatch_year,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,rear_area,NA,NA,NA,rear_nest_trt,NA,NA,NA,rear_nest_OH,NA,NA,NA,NA,rear_Cs_at_start_of_rearing,d14_rear_nest_brood_size,NA,NA,NA,NA,NA,NA,NA,NA,brood_reduction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bega
R_126erjKKuN3IwSJ,Bega-1-1-1,1,1,1,-9.2,control-enlarged,388.5,2.45,identity,identity,blue tit,1,power2,power2,"original variable (not transformed prior to analysis - if transformed with link function in analysis, click this option)",NA,day_14_weight,R_126erjKKuN3IwSJ,rear_nest_trt_C.E,396,0,linear,standard,6,6,4,4,2,2,0,0,retain,retain,NA,"We found mean weight per brood to be significantly lower in the enlarged broods compared to the control and reduced broods, while nestlings in reduced broods were not significantly heavier than nestlings in control broods (Table 1, Figure 1A, 1C). Mean weight was significantly lower for larger experimental brood sizes, broods that were laid later in the year, and nests in which a higher number of nestlings died.",neg_q,R 3.5.0,R,3.5.0,R,3.5.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hatch_year,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,rear_area,NA,NA,NA,rear_nest_trt,NA,NA,NA,rear_nest_OH,NA,NA,NA,NA,rear_Cs_at_start_of_rearing,d14_rear_nest_brood_size,NA,NA,NA,NA,NA,NA,NA,NA,brood_reduction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bega
R_126erjKKuN3IwSJ,Bega-1-1-2,1,1,2,1.26,reduced-control,382.03,2.21,identity,identity,blue tit,1,power2,power2,"original variable (not transformed prior to analysis - if transformed with link function in analysis, click this option)",NA,day_14_weight,R_126erjKKuN3IwSJ,rear_nest_trt_R.C,396,0,linear,standard,6,6,4,4,2,2,0,0,retain,retain,NA,"We found mean weight per brood to be significantly lower in the enlarged broods compared to the control and reduced broods, while nestlings in reduced broods were not significantly heavier than nestlings in control broods (Table 1, Figure 1A, 1C). Mean weight was significantly lower for larger experimental brood sizes, broods that were laid later in the year, and nests in which a higher number of nestlings died.",neg_q,R 3.5.0,R,3.5.0,R,3.5.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hatch_year,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,rear_area,NA,NA,NA,rear_nest_trt,NA,NA,NA,rear_nest_OH,NA,NA,NA,NA,rear_Cs_at_start_of_rearing,d14_rear_nest_brood_size,NA,NA,NA,NA,NA,NA,NA,NA,brood_reduction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bega
R_12cozGev3IOOBG2,Bell-4-4-1,4,4,1,NA,NA,NA,0.006225,identity,identity,blue tit,1,NA,NA,"original variable (not transformed prior to analysis - if transformed with link function in analysis, click this option)",NA,day_14_tarsus_length,R_12cozGev3IOOBG2,NA,3720,0,linear,standard,7,NA,3,NA,4,NA,0,NA,exclude,exclude_all,NA,"Specifically, tarsus length was negatively influenced by brood size increases, and positively related to brood size decreases. The net change in brood size was also negatively related to tarsus length, indicating that broods with larger increases in the number of nestlings also had smaller nestlings.",neg_c,R 3.2.3,R,3.2.3,R,3.2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hatch_nest_breed_ID,NA,NA,NA,NA,NA,NA,NA,hatch_nest_LD,NA,NA,NA,NA,rear_nest_breed_ID,rear_area,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,d14_rear_nest_brood_size,NA,Date_of_day14,NA,NA,day14_measurer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bell
