TeamIdentifier,response_id,response_id_S1
Ayr,R_11787O3NmejXKAH,R_1Itl59kv377gLJf
Bega,R_126erjKKuN3IwSJ,R_2cAVQfYDwn6t1op
Bell,R_12cozGev3IOOBG2,R_2SJljuA56J3HsAt
Berr,R_1CC5PPCXcQPgu42,R_1k08kvQmWlNiCh4
Brim,R_1d0uRf5iNWOLD8M,R_2ZQv7OgnUtQuKiR
Bruc,R_1dzfML4yheLxG0D,R_1nUzgoRFiRXNVfk
Burr,R_1E099fIoICERZIZ,R_1PbhHHoqRtvn87p
Byng,R_1E6WYqro4x6Nnz8,R_3PZHlQ9ItpKuH9Y
Cape,R_1eXlFKlQdiD2F59,R_27EHZCEAmrcedpm
Clar,R_1f9Lv1lWGLjMFk8,R_1DoOR5DuyGNXAfy
Clev,R_1ff6slHNcrTJ2JS,R_30qtAqgCucFizjO
Alban,R_1GEw0p99dpeSW3E,R_BqOe9Kn9jhN1EI1
Alpha,R_1GJlffAgZv6SY4y,R_3PGCaWUFvUiwVFC
Appin,R_1HeLJJFDOVIZbac,R_3MczKCcNi8dL5Te
Aubur,R_1llU7rt7jpCEaKe,R_1rpklJkqxgF6Bu9
Avoca,R_1MRquC7DrqOiQ5p,R_D6oR4pMRIIesrBf
Bargo,R_1o4ElmLsRiBa4FJ,R_oYq4JgHoSY8k36h
Berry,R_1QoRu2birFKL9Hx,R_3qBDjhFcpmZO2k2
Binda,R_1rq3aFo8fdXcGP3,R_2wyN09vl8Y49qnZ
Borde,R_210APF6gYFATf7Y,R_2Pbv2fjfsx6NLb0
Bowen,R_21an1zgH6j5Vfds,R_2CknTRNW4wBMSSJ
Bulli,R_21gmMa0uclrNoTP,R_1cU1BrxjpLRbjlm
Cedun,R_22mEYpP8f0QXcTl,R_32Pd1TWjULVI8iJ
Albury,R_234CYWFp3pm7mxh,R_1K0IveVYgARIf62
Aldgat,R_25Sd6zEgjVjLhN3,R_1PdsFyn19q8J2gX
Alding,R_2aPKje1xa8BzFa8,R_AvTDAoRDM6yiuM9
Allora,R_2CEpr5R0zCk1v1Q,R_UtovF7KjQakqiXL
Bell,R_2eQ3csRDLG0n4YO,R_2SJljuA56J3HsAt
Anakie,R_2Pjoz1X4q5XRClO,R_2v7WOy5UPYgRsut
Aramac,R_2Pjoz1X4q5XRClO,R_2v7WOy5UPYgRsut
Ararat,R_2SualymdumDBI63,R_UtqDqmrESNKkGxH
August,R_2tarci531JBsPED,R_22wUx5uAhS6kNpx
Avenel,R_2TFNREdJSxTXZBQ,R_piuWUgr0NlyPtV7
Bamaga,R_2THmmIkaHjHzDVz,R_UX6rMVM9xJytFLj
Barham,R_2Tzp6JznvkvCY4h,R_3HIeLbfUSnwxTuZ
Barmah,R_2Uh2qaU1UayMOvG,R_2CWeEPcvFQtAewC
Barmer,R_2uIDO25lv0nHjfH,R_XYVPerzpB88eTrX
Batlow,R_2vYtB65EABDGMNB,R_32JxopHszZg7SCG
Baxter,R_2wFd1Uodrx19dK3,R_2tb3s0YB6oCarYH
Beltan,R_2Wwn0cMK5hFC4vB,R_3kI1NM9Vqg3z2tS
Bethan,R_2xPmP71Af1t1YR5,R_cMiIsIKrbNOHTUt
Beulah,R_2y3muAnh5ZdPNsd,R_3sz7u7m03HYI4Am
Bilpin,R_2YDnnczYjl21ufr,R_3KZmL6MBSZgX0nt
Bindoo,R_2yr82cdDjPysYtS,R_2QQdNWLodCMZOsw
Blinma,R_2zUZWZuYEjzhNEw,R_b1OZHY55vbEQABH
Boonah,R_30l9T9czSfysE75,R_1IyAVQ5HCsUFEtv
Boulia,R_31LAZLL0bxwShz9,R_9Ro7rYsupt9fmi5
Bourke,R_3dWjjdkDbTRCUqs,R_9pOGo4lqSwSGMBH
Bowral,R_3E20pSupmdXAXDz,R_30xciEu0IUQAiiw
Bright,R_3EchM6GxZboGwz4,R_2dYiuTiZdoN5g1G
Buchan,R_3eemYAT4onCCt0N,R_0un20aswZVSIush
Bunbur,R_3ERyi6ZMihKx06s,R_3L0U4UvoLk3VKbo
Burnie,R_3EZsdPTvOnZBe9S,R_71a4bzOSnCeZX2h
Byrock,R_3iKJrflQwwxsps0,R_Th0jqfO1QgfeM2R
Caigun,R_3lMQ3NmmjrzpbM2,R_3iqzgPmHoBBCiRp
Cairns,R_3M4jvijC62vcUBW,R_2uEP0TlUrbNjCal
Camden,R_3m9pJhdYt9KfVms,R_O3vCpMA4soCtN0R
Casino,R_3nBCE4hMLh5s3qt,R_7UnGYtv7M7HfHRn
Cattai,R_3nBCE4hMLh5s3qt,R_7UnGYtv7M7HfHRn
Byrock,R_3qfD5ZHHdBbTgk3,R_Th0jqfO1QgfeM2R
Adelong,R_3rIdpCqsQtsmgqT,R_2EAXdnsMi6ugMYh
Angasto,R_40VJPSNfIlSJGAV,R_1H0IyhZy0nldtZT
Antwerp,R_4ZWbwCKuORJbmMx,R_1Hp2h0zKGtahOpi
Araluen,R_bacYhUrFeNmgo5r,R_2Sp40EoyHaYsTKh
Arltung,R_CfUlQXg434XEESd,R_1rkLEnjYEi36xzm
Armadal,R_DoCdsvLclGEF14Z,R_eb1JC6GKD9tzbAR
Ashford,R_eo0tGxxndcHxDJ7,R_1DPanw29t7pbWIw
Babinda,R_eqzPwjXV6eOi2zv,R_2DUocN2omMHmzad
Balingu,R_es2jrrN9CTGwl5D,R_XG1herO12VLsDbX
Ballina,R_OHkieloS1B9JsC5,R_20Nnm95aEcMLEHW
Bargara,R_PvSAhRE12PvmEJb,R_2Ym1ccLvvNS2qnU
Barooga,R_QhJspbYhGLOQVZD,R_2ScOSRhdIzSUeMa
Barraba,R_Rk5gQvyBw90zCvf,R_3oXvT9V5s4rnk4w
Belmont,R_rl4gKNbuSPbhvjj,R_1kM13Y5rrNh1EwH
Bemboka,R_rqkAgIU6rLn6bO9,R_32WlZIl2t3fVfaA
Benalla,R_sb3t48UcPt6oBO1,R_1JLPQzuAGEYPamY
Bendigo,R_SDyCfmAPuL4gcKZ,R_2cAdAj5VvtbJh3M
Berrima,R_T0k5x1ig6yJeJl7,R_2P6bNlA3PN9TOhv
Berwick,R_vMhaGW8Th967p9n,R_1gzmfS0skDrvRMo
Beverle,R_yZQkQmoW6cuEO09,R_DAVJdjrk0J0jKc9
Bicheno,R_0MuZ4chnmwTaLiV,R_yLcOjeoZSzjiADL
Biloela,R_12R6XuSRUcRemui,R_yOqMourTGTJpjRD
Bingara,R_1BWpZlSbkmSofe1,R_3rVDAskr36508SH
Birchip,R_1Ej3sywrrnzy7KJ,R_33BDfMiiAMYoh1w
Birdwoo,R_1FJQlMO4buRu6S2,R_2zoTkT5n3T2Figp
Blayney,R_1ib6zw7qoq0lHlf,R_2sdvt744RP1cwFk
Bodalla,R_1ItMbxJAVt7RRtX,R_2di0D5XQCfmM5kh
Bombala,R_1kH1Ko3yaLsrD0E,R_1HjgkiB9TrIr7wn
Bonalbo,R_1l9qIgUeSEKY3ME,R_2eVDWMhtfJdiIQ3
Boorowa,R_1LRqq2WHrQaENtM,R_1MYSEz5hQuxq9FW
Brookto,R_1LTZWsikoIaKdMu,R_42vGz7RDV5ZEKRP
Broulee,R_1LXqc8NAdABndjl,R_3QE4iqN6t9BPkhX
Bruthen,R_1M0cMZL2IPYWHoi,R_d1l0sVT8NXWLoFr
Buderim,R_1M0cMZL2IPYWHoi,R_d1l0sVT8NXWLoFr
Candelo,R_1NqVW3amqwy69rK,R_1eDBOx7NvVbFOpQ
Capella,R_1QlnXdW5tKuUQIr,R_1oilExZCHSiSDi1
Carcoar,R_1r2FSn2AXuCimpi,R_tLszglFcEEouw5H
Carnama,R_1reUKfTYXhTqVMo,R_3lXgPLTFa7HKWuY
Chewton,R_21AEcUhC7tWDsN6,R_337spqLzk4b2Dcf
Aberdeen,R_21I1NvXiVXIGkqp,R_3g6EdNTGRFT8dSj
Andamook,R_21jtSu9hB9Shf6Y,R_2ZI8x2TCtWURpar
Byrock,R_23UKvhBc7D608VO,R_1QgduqizIwdFmU9
Anglesea,R_27QNfbdXCi5JjQT,R_2QFBnfJbv32SjNE
Ardrossa,R_2AHKlq0vRRQTSVz,R_2xQ1wWriBS8MIaD
Arkarool,R_2anLJGpWhjUjzes,R_31bV8m4GPc5KEzm
Armidale,R_2D5BccM9OleEDwh,R_22Pndar8JzGrlIU
Atherton,R_2EgAnNXZmEg7LoJ,R_3Rsa89VAeoubdIh
Balaklav,R_2q46Az9oG9EuskN,R_1gITpQk4zurmE1v
Ballarat,R_2qt4UsEXYCfKubj,R_eFNB4up5bRvcEDL
Balmoral,R_2RWagSaG4jPYGlh,R_qKgjQoBdsJ28RfX
Bangalow,R_2tLsM42vnTf9wX6,R_3Myhri1Ob7sROGh
Barellan,R_2Uf2SxOynEElDZN,R_2XifHSdWv0qy8oN
Batchelo,R_2V7qaLEfdbgUGg3,R_3FWfDBuir1vIMhk
Bathurst,R_2YQeDDkUPqS56ew,R_2P0cmZTYHTnlofW
Beachpor,R_2zj7U8UJE7GgEYS,R_DlfXZz4C13eMZSF
Beaufort,R_2zNKAmJcWbM4QtY,R_dnhmzatvkfmrmc9
Belgrave,R_2ZOi9HYfzNfJmKE,R_dcIBMWrrztnvPmV
Bencubbi,R_2zSEWAYDs4K7SiK,R_1QF0DxQRMBm4q6L
Bermagui,R_31tNDcbaXNaQp1y,R_1gBVqzSyWiVb375
Berrigan,R_3D10yCylth7wFPg,R_3FVBH5JektyGFkE
Binalong,R_3dYDpQUfDUXjtDy,R_1KebXqQhV2jX3Ny
Binnaway,R_3EbbZxcQ3gctVZu,R_Z4WyhjfjklVKNjj
Blackall,R_3EoS37IOWKLRxDV,R_PTbb895VJXIZ0Ot
Boggabri,R_3eta2uFp1DLnGVJ,R_Rxy4Phe5oKGRJ8l
Booligal,R_3EYx3CfuTZ7YNmF,R_5pO4uaQBztiSWPv
Bothwell,R_3fqsqu3iZPZDV4J,R_1r3pVyhZV9STbBA
Boydtown,R_3GqVN6mfoOWe3Nz,R_1hSZf5af3tKfwLI
Byrock,R_3HzSBqQTAmJJ9ye,R_1QgduqizIwdFmU9
Branxton,R_3Kvy0h01LXHWniT,R_ZDoj8t3AqDzxNIZ
Bridport,R_3L6k5TOvZ4731Dk,R_3J7MCN8rbj0y9H2
