qname,question,variable_name
Q32,Which research question did you answer?,dataset
Q33,What is your first (given) name?,FirstName
Q34,What is your last name (surname or family name)?,LastName
Q36,What is your email address?,RecipientEmail
Q39,What is the name of your analyst team (where relevant)?,TeamName
Q35,List the full names and emails for the other analysts on this analysis team,TeamMembers
Q20,<b>Data Cleaning</b>,
transforms,What transformations (if any) were applied to the variables? Please be specific. ,transforms
exclusions,"<p>Did you exclude any data (entirely exclude any <u>rows
</u>from the original data set)? (This question is NOT asking about excluding
variables [columns from the original data set])</p>",exclusions
Q23,"Please
describe the process and
criteria used to choose to exclude (or not exclude) subsets of the data
from your final analysis.",ExclusionCriteriaProcess
Q21,<b>Statistical Modeling</b>,
technique,What is the name of the statistical technique that you employed? (e.g. “Analysis of Variance” or “Generalized Linear Mixed Model with binomial error and logit link”),technique
Q24,"Please
explain why you selected this technique and describe the process you used to
select it",TechniqueSelectionProcess
tech_expl,"Please describe the statistical technique you chose in more detail. Be specific, especially if your choice is not one you consider to be well-known. ",tech_expl
tech_ref,"What
are some references for the statistical technique that you chose? If you don’t
know of references introducing or justifying this technique, can you provide
one or more references in which the technique was used?",tech_ref
cov_reason,"How
did you choose variables for your model?
 If there were multiple steps, please explain them.",cov_reason
Q25,"Please
describe the process by which you decided how to combine your variables in your
model (for instance, how did you decide whether to include interaction terms or
quadratic terms?). Again, if there were multiple steps, please explain.",CovariateCombinationSelectionProcess
Q26,Did you include any random effects in your model?,RandomEffectsIncluded
Q27,"If you included random effects, please list them an explain why you included each one",RandomEffectsExplanation
software,"Which software (including version) did you use? If you used multiple kinds, please indicate what was accomplished with each piece of software (e.g., data cleaning - R 3.4.4; model estimation - SAS 9.3)",software
Q19_Id,<b>Attach a description of your methods</b> <div>Please upload a file containing a full-text description of your methods as you would write for submission to a journal</div>,MethodDescriptionFile_Id
Q19_Name,<b>Attach a description of your methods</b> <div>Please upload a file containing a full-text description of your methods as you would write for submission to a journal</div>,MethodDescriptionFile_Name
Q19_Size,<b>Attach a description of your methods</b> <div>Please upload a file containing a full-text description of your methods as you would write for submission to a journal</div>,MethodDescriptionFile_Size
Q19_Type,<b>Attach a description of your methods</b> <div>Please upload a file containing a full-text description of your methods as you would write for submission to a journal</div>,MethodDescriptionFile_Type
Q29_Id,"<b>Attach your analysis files </b><br>Please upload a file containing your analysis code (if you have multiple analysis files please compress them into a zip file first). If you conducted analyses with menu-driven software, please upload a file listing the complete sequence of menu options you selected.",AnalysisCodeFile_Id
Q29_Name,"<b>Attach your analysis files </b><br>Please upload a file containing your analysis code (if you have multiple analysis files please compress them into a zip file first). If you conducted analyses with menu-driven software, please upload a file listing the complete sequence of menu options you selected.",AnalysisCodeFile_Name
Q29_Size,"<b>Attach your analysis files </b><br>Please upload a file containing your analysis code (if you have multiple analysis files please compress them into a zip file first). If you conducted analyses with menu-driven software, please upload a file listing the complete sequence of menu options you selected.",AnalysisCodeFile_Size
