question,variable_name
Data set analyzed (choose one),dataset
"Dependent (response) variable in this analysis. If you used a variable listed in the original data set, please copy and paste the original variable name.",response_variable_name
"Was this dependent variable in the original data set, or is it a constructed variable (a variable based on combining information from two [2] or more original variables)?",response_variable_type
"If your variable was transformed prior to conducting the analysis, please describe the transformation here.",response_transformation_description
"If you constructed your variable from multiple other variables, please briefly identify the original variables that contributed to the constructed variable, and the process used to combine the information.",response_construction_description
What error distribution was assumed in your analysis:,error_distribution
What link function was used in your analysis,link_function
"<div>What single independent (predictor) variable from this analysis are you designating as the test of the primary study question? If the variable is listed in the original data set, please copy and paste the name of the variable here. If there is more than one option, choose the independent variable that you think is most relevant.  If you cannot identify an independent variable that can serve as a test of primary study question, enter 'N/A'</div>",test_variable
"<div>What is the slope/beta estimate associated with the independent / predictor variable you identified above?</div>

<div> </div>

<div>If your independent variable is a factor (categorical variable) with &gt;2 categories, please report all the contrast estimates presented (number of categories - 1) in your model output and specify which values accompany which category.<br>
<br>
If your independent variable is a factor (categorical variable) with &gt;2 categories and you wish to use just one of the contrasts (between just two of the categories), please (a) tell us which contrast this is and (b) please report the adjusted degrees of freedom that corresponds to this contrast in the box below that asks for adjusted degrees of freedom. <br></div>",beta_estimate
"<div>What is the standard error (SE) associated with the estimate provided in the prior question?</div><div><br></div><div>If you identified &gt;1 estimate associated with &gt;1 contrast for a factor (categorical predictor), please specific which SE accompanies which contrast.<br></div>",beta_SE
"What are the adjusted degrees of freedom (df) from this analysis? This value will have been generated by following the instructions linked above (and in our email). If you were unable to implement these instructions, please state that here.",adjusted_df
"If you are submitting multiple analyses, which number analysis is described on this page? ",analysis_number
Do you need to submit data from an additional analysis or are you finished with this survey?,survey_finished
