response_id,submission_id,analysis_id,split_id,TeamIdentifier,study_id,beta_estimate,contrast,adjusted_df,beta_SE,transformation,link_function_reported,dataset,mixed_model,response_transformation_description,response_transformation_status,response_variable_type,response_construction_description,response_variable_name,response_id_S2,test_variable,sample_size,Bayesian,linear_model,model_subclass,num_variables,num_effects,num_fixed_variables,num_fixed_effects,num_random_variables,num_random_effects,num_interactions,num_duplicate_terms,exclusions_all,exclusions_effect_analysis,exclusion_predictions,Conclusion,ReviewerId,PriorBelief,RateAnalysis,PublishableAsIs,Zr,VZr,mean_diversity_index,estimate_type,abs_deviation_score_estimate,box_cox_abs_deviation_score_estimate,folded_mu_val,folded_v_val,box_cox_var,lambda,weights
R_126erjKKuN3IwSJ,2,2,1,Bega,Bega-2-2-1,-4.05,control-enlarged,389.12,2.11,identity,identity,blue tit,1,power2,power2,"original variable (not transformed prior to analysis - if transformed with link function in analysis, click this option)",NA,day_14_tarsus_length,R_126erjKKuN3IwSJ,rear_nest_trt_C.E,396,0,linear,standard,6,6,4,4,2,2,0,0,retain,retain,NA,neg_q,Rev128,Negative relationship (more competition = less growth),50,publishable with major revision,-0.097151125475859,0.00256990131578947,NA,Zr,0.25405472745062696,-1.143012517235737,0.2540547325461531,0.00256989872670446,0.00140519557038464,0.27313047795776935,711.6447141420085
R_126erjKKuN3IwSJ,2,2,1,Bega,Bega-2-2-1,-4.05,control-enlarged,389.12,2.11,identity,identity,blue tit,1,power2,power2,"original variable (not transformed prior to analysis - if transformed with link function in analysis, click this option)",NA,day_14_tarsus_length,R_126erjKKuN3IwSJ,rear_nest_trt_C.E,396,0,linear,standard,6,6,4,4,2,2,0,0,retain,retain,NA,neg_q,Rev116,Negative relationship (more competition = less growth),85,publishable with major revision,-0.097151125475859,0.00256990131578947,NA,Zr,0.25405472745062696,-1.143012517235737,0.2540547325461531,0.00256989872670446,0.00140519557038464,0.27313047795776935,711.6447141420085
R_126erjKKuN3IwSJ,2,2,1,Bega,Bega-2-2-1,-4.05,control-enlarged,389.12,2.11,identity,identity,blue tit,1,power2,power2,"original variable (not transformed prior to analysis - if transformed with link function in analysis, click this option)",NA,day_14_tarsus_length,R_126erjKKuN3IwSJ,rear_nest_trt_C.E,396,0,linear,standard,6,6,4,4,2,2,0,0,retain,retain,NA,neg_q,Rev40,Negative relationship (more competition = less growth),70,publishable with minor revision,-0.097151125475859,0.00256990131578947,NA,Zr,0.25405472745062696,-1.143012517235737,0.2540547325461531,0.00256989872670446,0.00140519557038464,0.27313047795776935,711.6447141420085
R_126erjKKuN3IwSJ,2,2,2,Bega,Bega-2-2-2,-2.55,reduced-control,384.09,1.91,identity,identity,blue tit,1,power2,power2,"original variable (not transformed prior to analysis - if transformed with link function in analysis, click this option)",NA,day_14_tarsus_length,R_126erjKKuN3IwSJ,rear_nest_trt_R.C,396,0,linear,standard,6,6,4,4,2,2,0,0,retain,retain,NA,neg_q,Rev128,Negative relationship (more competition = less growth),50,publishable with major revision,-0.06806987927113335,0.00260355645812179,NA,Zr,0.28313597365535265,-1.0673552756194609,0.2831359739047118,0.0026035563169167,0.00121608377602198,0.27313047795776935,822.3117680848983
R_126erjKKuN3IwSJ,2,2,2,Bega,Bega-2-2-2,-2.55,reduced-control,384.09,1.91,identity,identity,blue tit,1,power2,power2,"original variable (not transformed prior to analysis - if transformed with link function in analysis, click this option)",NA,day_14_tarsus_length,R_126erjKKuN3IwSJ,rear_nest_trt_R.C,396,0,linear,standard,6,6,4,4,2,2,0,0,retain,retain,NA,neg_q,Rev116,Negative relationship (more competition = less growth),85,publishable with major revision,-0.06806987927113335,0.00260355645812179,NA,Zr,0.28313597365535265,-1.0673552756194609,0.2831359739047118,0.0026035563169167,0.00121608377602198,0.27313047795776935,822.3117680848983
R_126erjKKuN3IwSJ,2,2,2,Bega,Bega-2-2-2,-2.55,reduced-control,384.09,1.91,identity,identity,blue tit,1,power2,power2,"original variable (not transformed prior to analysis - if transformed with link function in analysis, click this option)",NA,day_14_tarsus_length,R_126erjKKuN3IwSJ,rear_nest_trt_R.C,396,0,linear,standard,6,6,4,4,2,2,0,0,retain,retain,NA,neg_q,Rev40,Negative relationship (more competition = less growth),70,publishable with minor revision,-0.06806987927113335,0.00260355645812179,NA,Zr,0.28313597365535265,-1.0673552756194609,0.2831359739047118,0.0026035563169167,0.00121608377602198,0.27313047795776935,822.3117680848983
R_126erjKKuN3IwSJ,1,1,1,Bega,Bega-1-1-1,-9.2,control-enlarged,388.5,2.45,identity,identity,blue tit,1,power2,power2,"original variable (not transformed prior to analysis - if transformed with link function in analysis, click this option)",NA,day_14_weight,R_126erjKKuN3IwSJ,rear_nest_trt_C.E,396,0,linear,standard,6,6,4,4,2,2,0,0,retain,retain,NA,neg_q,Rev128,Negative relationship (more competition = less growth),50,publishable with major revision,-0.18937967075853063,0.00257400257400257,NA,Zr,0.16182618216795533,-1.4348857904542551,0.16184571308775342,0.00256768096417544,0.0027042189737438,0.27313047795776935,369.7925388843674
R_126erjKKuN3IwSJ,1,1,1,Bega,Bega-1-1-1,-9.2,control-enlarged,388.5,2.45,identity,identity,blue tit,1,power2,power2,"original variable (not transformed prior to analysis - if transformed with link function in analysis, click this option)",NA,day_14_weight,R_126erjKKuN3IwSJ,rear_nest_trt_C.E,396,0,linear,standard,6,6,4,4,2,2,0,0,retain,retain,NA,neg_q,Rev116,Negative relationship (more competition = less growth),85,publishable with major revision,-0.18937967075853063,0.00257400257400257,NA,Zr,0.16182618216795533,-1.4348857904542551,0.16184571308775342,0.00256768096417544,0.0027042189737438,0.27313047795776935,369.7925388843674
R_126erjKKuN3IwSJ,1,1,1,Bega,Bega-1-1-1,-9.2,control-enlarged,388.5,2.45,identity,identity,blue tit,1,power2,power2,"original variable (not transformed prior to analysis - if transformed with link function in analysis, click this option)",NA,day_14_weight,R_126erjKKuN3IwSJ,rear_nest_trt_C.E,396,0,linear,standard,6,6,4,4,2,2,0,0,retain,retain,NA,neg_q,Rev40,Negative relationship (more competition = less growth),70,publishable with minor revision,-0.18937967075853063,0.00257400257400257,NA,Zr,0.16182618216795533,-1.4348857904542551,0.16184571308775342,0.00256768096417544,0.0027042189737438,0.27313047795776935,369.7925388843674
R_126erjKKuN3IwSJ,1,1,2,Bega,Bega-1-1-2,1.26,reduced-control,382.03,2.21,identity,identity,blue tit,1,power2,power2,"original variable (not transformed prior to analysis - if transformed with link function in analysis, click this option)",NA,day_14_weight,R_126erjKKuN3IwSJ,rear_nest_trt_R.C,396,0,linear,standard,6,6,4,4,2,2,0,0,retain,retain,NA,neg_q,Rev128,Negative relationship (more competition = less growth),50,publishable with major revision,0.02916540213967815,0.00261759547679501,NA,Zr,0.38037125506616415,-0.849535800466066,0.3803712550661648,0.00261759547679449,7.959968205248388e-4,0.27313047795776935,1256.2864250395523
